mtype,entry,value
L1_DAC,basal_dendrite.orientation.mode,pia_constraint
L1_DAC,basal_dendrite.step_size.norm.std,0.0
L1_DAC,axon.orientation.mode,normal_pia_constraint
L1_DAC,axon.orientation.values.direction.mean,1.5
L1_DAC,axon.orientation.values.direction.std,0.5
L1_DAC,axon.targeting,0.2
L1_DAC,axon.randomness,0.2
L1_DAC,axon.step_size.norm.std,0.0
L1_DAC,axon.growth_method,tmd_gradient
L1_DAC,axon.bias,1.0
L1_DAC,axon.bias_length,0.7

L1_HAC,basal_dendrite.orientation.mode,pia_constraint
L1_HAC,basal_dendrite.step_size.norm.std,0.0
L1_HAC,axon.orientation.mode,normal_pia_constraint
L1_HAC,axon.orientation.values.direction.mean,3.1415
L1_HAC,axon.orientation.values.direction.std,1.0
L1_HAC,axon.targeting,0.2
L1_HAC,axon.randomness,0.2
L1_HAC,axon.step_size.norm.std,0.0

L1_NGC-SA,basal_dendrite.orientation.mode,pia_constraint
L1_NGC-SA,axon.orientation.mode,normal_pia_constraint
L1_NGC-SA,axon.orientation.values.direction.mean,2.5
L1_NGC-SA,axon.orientation.values.direction.std,0.5
L1_NGC-SA,axon.targeting,0.2
L1_NGC-SA,axon.randomness,0.2
L1_NGC-SA,axon.step_size.norm.std,0.0

L1_NGC-DA,basal_dendrite.orientation.mode,pia_constraint
L1_NGC-DA,basal_dendrite.step_size.norm.std,0.0
L1_NGC-DA,axon.orientation.mode,normal_pia_constraint
L1_NGC-DA,axon.orientation.values.direction.mean,2.5
L1_NGC-DA,axon.orientation.values.direction.std,0.5
L1_NGC-DA,axon.targeting,0.2
L1_NGC-DA,axon.randomness,0.2
L1_NGC-DA,axon.step_size.norm.std,0.0

L1_SAC,basal_dendrite.orientation.mode,pia_constraint
L1_SAC,basal_dendrite.step_size.norm.std,0.0
L1_SAC,axon.orientation.mode,normal_pia_constraint
L1_SAC,axon.orientation.values.direction.mean,1.5
L1_SAC,axon.orientation.values.direction.std,0.5
L1_SAC,axon.targeting,0.2
L1_SAC,axon.randomness,0.2
L1_SAC,axon.step_size.norm.std,0.0

L1_LAC,basal_dendrite.orientation.mode,pia_constraint
L1_LAC,basal_dendrite.step_size.norm.std,0.0
L1_LAC,axon.orientation.mode,normal_pia_constraint
L1_LAC,axon.orientation.values.direction.mean,1.5
L1_LAC,axon.orientation.values.direction.std,0.5
L1_LAC,axon.targeting,0.2
L1_LAC,axon.randomness,0.2
L1_LAC,axon.step_size.norm.std,0.0

L23_ChC,basal_dendrite.orientation.mode,pia_constraint
L23_ChC,basal_dendrite.step_size.norm.std,0.0
L23_ChC,axon.orientation.mode,normal_pia_constraint
L23_ChC,axon.orientation.values.direction.mean,3.1415
L23_ChC,axon.orientation.values.direction.std,0.7
L23_ChC,axon.targeting,0.2
L23_ChC,axon.randomness,0.2
L23_ChC,axon.step_size.norm.std,0.0

L23_BTC,basal_dendrite.orientation.mode,pia_constraint
L23_BTC,basal_dendrite.orientation.values.form,double_step
L23_BTC,basal_dendrite.step_size.norm.std,0.0
L23_BTC,axon.orientation.mode,normal_pia_constraint
L23_BTC,axon.orientation.values.direction.mean,3.1415
L23_BTC,axon.orientation.values.direction.std,0.2
L23_BTC,axon.targeting,0.2
L23_BTC,axon.randomness,0.2
L23_BTC,axon.step_size.norm.std,0.0
L23_BTC,axon.growth_method,tmd_gradient
L23_BTC,axon.bias,1.0
L23_BTC,axon.bias_length,0.7

L23_LBC,basal_dendrite.orientation.mode,pia_constraint
L23_LBC,basal_dendrite.orientation.values.form,double_step
L23_LBC,basal_dendrite.step_size.norm.std,0.0
L23_LBC,axon.orientation.mode,normal_pia_constraint
L23_LBC,axon.orientation.values.direction.mean,0.5
L23_LBC,axon.orientation.values.direction.std,1.5
L23_LBC,axon.targeting,0.2
L23_LBC,axon.randomness,0.2
L23_LBC,axon.step_size.norm.std,0.0
L23_LBC,axon.growth_method,tmd_gradient
L23_LBC,axon.bias,1.0
L23_LBC,axon.bias_length,0.7

L23_MC,basal_dendrite.orientation.mode,pia_constraint
L23_MC,basal_dendrite.orientation.values.form,double_step
L23_MC,basal_dendrite.step_size.norm.std,0.0
L23_MC,axon.orientation.mode,normal_pia_constraint
L23_MC,axon.orientation.values.direction.mean,1.5
